date,year,month,category,state,county,title,fema_number
2/15/2023,2023,2,Flood,KY,Johnson County,"SEVERE STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES",4711
1/8/2023,2023,1,Flood,CA,Sacramento County,"SEVERE WINTER STORMS, FLOODING, AND MUDSLIDES",3591
3/9/2023,2023,3,Flood,CA,Sacramento County,"SEVERE WINTER STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",3592
4/10/2023,2023,4,Flood,ND,Steele County,FLOODING,4717
3/9/2023,2023,3,Flood,CA,Del Norte County,"SEVERE WINTER STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",3592
4/10/2023,2023,4,Flood,ND,Mercer County,FLOODING,4717
6/8/2023,2023,6,Flood,CO,Elbert County,"SEVERE STORMS, FLOODING, AND TORNADOES",4731
1/8/2023,2023,1,Flood,CA,Los Angeles County,"SEVERE WINTER STORMS, FLOODING, AND MUDSLIDES",3591
3/9/2023,2023,3,Flood,CA,Los Angeles County,"SEVERE WINTER STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",3592
4/10/2023,2023,4,Flood,ND,Walsh County,FLOODING,4717
6/1/2023,2023,6,Flood,MT,Carbon County,FLOODING,4745
1/8/2023,2023,1,Flood,CA,Lake County,"SEVERE WINTER STORMS, FLOODING, AND MUDSLIDES",3591
3/9/2023,2023,3,Flood,CA,Lake County,"SEVERE WINTER STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",3592
2/15/2023,2023,2,Flood,KY,Caldwell County,"SEVERE STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES",4711
6/8/2023,2023,6,Flood,CO,Baca County,"SEVERE STORMS, FLOODING, AND TORNADOES",4731
1/8/2023,2023,1,Flood,CA,Sonoma County,"SEVERE WINTER STORMS, FLOODING, AND MUDSLIDES",3591
3/9/2023,2023,3,Flood,CA,Sonoma County,"SEVERE WINTER STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",3592
4/10/2023,2023,4,Flood,MT,Roosevelt County,FLOODING,4726
3/9/2023,2023,3,Flood,CA,Inyo County,"SEVERE WINTER STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",3592
4/9/2023,2023,4,Flood,SD,Codington County,FLOODING,4718
5/12/2023,2023,5,Flood,AK,Yukon Flats Regional Educational Attendance Area,FLOODING,4730
1/8/2023,2023,1,Flood,CA,Placer County,"SEVERE WINTER STORMS, FLOODING, AND MUDSLIDES",3591
3/9/2023,2023,3,Flood,CA,Placer County,"SEVERE WINTER STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",3592
7/9/2023,2023,7,Flood,VT,Washington County,FLOODING,3595
7/7/2023,2023,7,Flood,VT,Washington County,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",4720
5/1/2023,2023,5,Flood,UT,Utah County,FLOODING,4752
7/9/2023,2023,7,Flood,NH,Sullivan County,SEVERE STORMS AND FLOODING,4740
4/24/2023,2023,4,Flood,IA,Jackson County,FLOODING,4732
3/9/2023,2023,3,Flood,CA,Trinity County,"SEVERE WINTER STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",3592
6/8/2023,2023,6,Flood,CO,Lincoln County,"SEVERE STORMS, FLOODING, AND TORNADOES",4731
5/1/2023,2023,5,Flood,UT,Iron County,FLOODING,4752
6/8/2023,2023,6,Flood,CO,Arapahoe County,"SEVERE STORMS, FLOODING, AND TORNADOES",4731
4/10/2023,2023,4,Flood,ND,Richland County,FLOODING,4717
5/12/2023,2023,5,Flood,AK,Copper River Regional Educational Attendance Area,FLOODING,4730
3/9/2023,2023,3,Flood,CA,Kern County,"SEVERE WINTER STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",3592
6/8/2023,2023,6,Flood,CO,Teller County,"SEVERE STORMS, FLOODING, AND TORNADOES",4731
