Contiguous U.S. January-December Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189512,50.33,-1.68
189612,51.98,-0.03
189712,51.54,-0.47
189812,51.42,-0.59
189912,50.99,-1.02
190012,52.76,0.75
190112,51.86,-0.15
190212,51.57,-0.44
190312,50.61,-1.40
190412,51.15,-0.86
190512,50.99,-1.02
190612,51.72,-0.29
190712,51.47,-0.54
190812,52.07,0.06
190912,51.42,-0.59
191012,52.41,0.40
191112,52.02,0.01
191212,50.22,-1.79
191312,51.53,-0.48
191412,51.83,-0.18
191512,51.43,-0.58
191612,50.84,-1.17
191712,50.05,-1.96
191812,51.85,-0.16
191912,51.54,-0.47
192012,51.07,-0.94
192112,53.79,1.78
192212,52.02,0.01
192312,51.63,-0.38
192412,50.57,-1.44
192512,52.51,0.50
192612,51.94,-0.07
192712,52.14,0.13
192812,51.91,-0.10
192912,50.85,-1.16
193012,51.97,-0.04
193112,53.52,1.51
193212,51.72,-0.29
193312,52.98,0.97
193412,54.09,2.08
193512,51.88,-0.13
193612,52.14,0.13
193712,51.54,-0.47
193812,53.17,1.16
193912,53.25,1.24
194012,51.88,-0.13
194112,52.64,0.63
194212,51.83,-0.18
194312,52.06,0.05
194412,51.82,-0.19
194512,51.74,-0.27
194612,52.94,0.93
194712,51.91,-0.10
194812,51.60,-0.41
194912,52.01,0.00
195012,51.38,-0.63
195112,51.11,-0.90
195212,52.27,0.26
195312,53.35,1.34
195412,53.32,1.31
195512,51.68,-0.33
195612,52.33,0.32
195712,52.03,0.02
195812,51.92,-0.09
195912,52.10,0.09
196012,51.43,-0.58
196112,51.86,-0.15
196212,51.89,-0.12
196312,52.25,0.24
196412,51.67,-0.34
196512,51.67,-0.34
196612,51.48,-0.53
196712,51.75,-0.26
196812,51.31,-0.70
196912,51.49,-0.52
197012,51.60,-0.41
197112,51.65,-0.36
197212,51.36,-0.65
197312,52.28,0.27
197412,52.26,0.25
197512,51.49,-0.52
197612,51.46,-0.55
197712,52.54,0.53
197812,51.04,-0.97
197912,50.88,-1.13
198012,52.38,0.37
198112,53.11,1.10
198212,51.33,-0.68
198312,51.87,-0.14
198412,51.97,-0.04
198512,51.29,-0.72
198612,53.31,1.30
198712,53.32,1.31
198812,52.62,0.61
198912,51.82,-0.19
199012,53.50,1.49
199112,53.15,1.14
199212,52.59,0.58
199312,51.25,-0.76
199412,52.85,0.84
199512,52.65,0.64
199612,51.88,-0.13
199712,52.19,0.18
199812,54.22,2.21
199912,53.87,1.86
200012,53.25,1.24
200112,53.68,1.67
200212,53.20,1.19
200312,53.24,1.23
200412,53.08,1.07
200512,53.63,1.62
200612,54.24,2.23
200712,53.64,1.63
200812,52.28,0.27
200912,52.38,0.37
201012,52.98,0.97
201112,53.17,1.16
201212,55.27,3.26
201312,52.42,0.41
201412,52.53,0.52
201512,54.38,2.37
201612,54.90,2.89
201712,54.54,2.53
201812,53.51,1.50
201912,52.66,0.65
202012,54.36,2.35
202112,54.50,2.49
202212,53.38,1.37
202312,54.39,2.38
