Contiguous U.S. January-December Maximum Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189512,62.56,-1.42
189612,63.72,-0.26
189712,63.38,-0.60
189812,63.29,-0.69
189912,62.91,-1.07
190012,64.57,0.59
190112,63.96,-0.02
190212,63.36,-0.62
190312,62.47,-1.51
190412,63.37,-0.61
190512,62.53,-1.45
190612,63.31,-0.67
190712,63.25,-0.73
190812,64.17,0.19
190912,63.31,-0.67
191012,64.91,0.93
191112,63.95,-0.03
191212,61.95,-2.03
191312,63.46,-0.52
191412,63.72,-0.26
191512,63.02,-0.96
191612,63.10,-0.88
191712,62.48,-1.50
191812,63.91,-0.07
191912,63.30,-0.68
192012,62.68,-1.30
192112,65.94,1.96
192212,64.03,0.05
192312,63.39,-0.59
192412,62.90,-1.08
192512,64.60,0.62
192612,63.86,-0.12
192712,63.89,-0.09
192812,63.91,-0.07
192912,62.91,-1.07
193012,64.17,0.19
193112,65.61,1.63
193212,63.75,-0.23
193312,65.39,1.41
193412,66.74,2.76
193512,63.66,-0.32
193612,64.58,0.60
193712,63.42,-0.56
193812,65.20,1.22
193912,65.88,1.90
194012,63.72,-0.26
194112,64.06,0.08
194212,63.83,-0.15
194312,64.58,0.60
194412,63.81,-0.17
194512,63.67,-0.31
194612,65.13,1.15
194712,63.86,-0.12
194812,63.82,-0.16
194912,64.18,0.20
195012,63.60,-0.38
195112,63.17,-0.81
195212,64.68,0.70
195312,65.75,1.77
195412,65.76,1.78
195512,63.95,-0.03
195612,64.90,0.92
195712,63.44,-0.54
195812,63.71,-0.27
195912,64.13,0.15
196012,63.41,-0.57
196112,63.80,-0.18
196212,63.95,-0.03
196312,64.63,0.65
196412,63.89,-0.09
196512,63.46,-0.52
196612,63.62,-0.36
196712,63.81,-0.17
196812,63.19,-0.79
196912,63.18,-0.80
197012,63.53,-0.45
197112,63.51,-0.47
197212,63.07,-0.91
197312,63.80,-0.18
197412,64.30,0.32
197512,63.22,-0.76
197612,64.05,0.07
197712,64.57,0.59
197812,62.75,-1.23
197912,62.69,-1.29
198012,64.42,0.44
198112,65.05,1.07
198212,62.82,-1.16
198312,63.05,-0.93
198412,63.57,-0.41
198512,63.04,-0.94
198612,64.88,0.90
198712,65.32,1.34
198812,65.17,1.19
198912,63.95,-0.03
199012,65.61,1.63
199112,64.79,0.81
199212,64.11,0.13
199312,62.67,-1.31
199412,64.77,0.79
199512,64.33,0.35
199612,63.70,-0.28
199712,63.70,-0.28
199812,65.61,1.63
199912,66.18,2.20
200012,65.29,1.31
200112,65.63,1.65
200212,65.17,1.19
200312,65.10,1.12
200412,64.59,0.61
200512,65.47,1.49
200612,66.39,2.41
200712,65.62,1.64
200812,64.43,0.45
200912,64.15,0.17
201012,64.64,0.66
201112,65.14,1.16
201212,67.67,3.69
201312,64.13,0.15
201412,64.32,0.34
201512,66.05,2.07
201612,66.67,2.69
201712,66.33,2.35
201812,65.07,1.09
201912,64.06,0.08
202012,66.31,2.33
202112,66.35,2.37
202212,65.65,1.67
202312,66.15,2.17
