Contiguous U.S. January-December Minimum Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189512,38.10,-1.93
189612,40.24,0.21
189712,39.70,-0.33
189812,39.54,-0.49
189912,39.07,-0.96
190012,40.95,0.92
190112,39.77,-0.26
190212,39.79,-0.24
190312,38.75,-1.28
190412,38.92,-1.11
190512,39.45,-0.58
190612,40.12,0.09
190712,39.69,-0.34
190812,39.96,-0.07
190912,39.53,-0.50
191012,39.89,-0.14
191112,40.08,0.05
191212,38.49,-1.54
191312,39.60,-0.43
191412,39.93,-0.10
191512,39.84,-0.19
191612,38.57,-1.46
191712,37.62,-2.41
191812,39.80,-0.23
191912,39.77,-0.26
192012,39.44,-0.59
192112,41.63,1.60
192212,40.00,-0.03
192312,39.86,-0.17
192412,38.25,-1.78
192512,40.41,0.38
192612,40.02,-0.01
192712,40.37,0.34
192812,39.90,-0.13
192912,38.77,-1.26
193012,39.76,-0.27
193112,41.43,1.40
193212,39.70,-0.33
193312,40.57,0.54
193412,41.44,1.41
193512,40.11,0.08
193612,39.70,-0.33
193712,39.65,-0.38
193812,41.13,1.10
193912,40.60,0.57
194012,40.03,0.00
194112,41.22,1.19
194212,39.82,-0.21
194312,39.53,-0.50
194412,39.83,-0.20
194512,39.80,-0.23
194612,40.73,0.70
194712,39.95,-0.08
194812,39.37,-0.66
194912,39.83,-0.20
195012,39.17,-0.86
195112,39.04,-0.99
195212,39.84,-0.19
195312,40.96,0.93
195412,40.86,0.83
195512,39.41,-0.62
195612,39.75,-0.28
195712,40.62,0.59
195812,40.12,0.09
195912,40.06,0.03
196012,39.44,-0.59
196112,39.91,-0.12
196212,39.83,-0.20
196312,39.85,-0.18
196412,39.43,-0.60
196512,39.89,-0.14
196612,39.33,-0.70
196712,39.69,-0.34
196812,39.43,-0.60
196912,39.80,-0.23
197012,39.66,-0.37
197112,39.77,-0.26
197212,39.64,-0.39
197312,40.75,0.72
197412,40.20,0.17
197512,39.76,-0.27
197612,38.87,-1.16
197712,40.51,0.48
197812,39.32,-0.71
197912,39.05,-0.98
198012,40.33,0.30
198112,41.16,1.13
198212,39.84,-0.19
198312,40.68,0.65
198412,40.36,0.33
198512,39.54,-0.49
198612,41.73,1.70
198712,41.31,1.28
198812,40.07,0.04
198912,39.69,-0.34
199012,41.39,1.36
199112,41.50,1.47
199212,41.06,1.03
199312,39.83,-0.20
199412,40.93,0.90
199512,40.95,0.92
199612,40.05,0.02
199712,40.68,0.65
199812,42.82,2.79
199912,41.54,1.51
200012,41.20,1.17
200112,41.73,1.70
200212,41.21,1.18
200312,41.39,1.36
200412,41.56,1.53
200512,41.77,1.74
200612,42.07,2.04
200712,41.66,1.63
200812,40.13,0.10
200912,40.59,0.56
201012,41.30,1.27
201112,41.20,1.17
201212,42.87,2.84
201312,40.69,0.66
201412,40.73,0.70
201512,42.71,2.68
201612,43.12,3.09
201712,42.74,2.71
201812,41.93,1.90
201912,41.26,1.23
202012,42.40,2.37
202112,42.63,2.60
202212,41.11,1.08
202312,42.62,2.59
