date,year,month,category,state,county,title,fema_number,area(sq_miles),thousand_square_miles,first,last,change
2/15/2023,2023,2,Flood,KY,Johnson County,"SEVERE STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES",4711,"39,732",39.732,52.57454545454546,55.369090909090914,2.7945454545454567
1/8/2023,2023,1,Flood,CA,Sacramento County,"SEVERE WINTER STORMS, FLOODING, AND MUDSLIDES",3591,"155,973",155.973,55.77454545454545,57.85454545454545,2.0799999999999983
3/9/2023,2023,3,Flood,CA,Sacramento County,"SEVERE WINTER STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",3592,"155,973",155.973,55.77454545454545,57.85454545454545,2.0799999999999983
4/10/2023,2023,4,Flood,ND,Steele County,FLOODING,4717,"68,994",68.994,37.78909090909091,38.44363636363636,0.654545454545449
3/9/2023,2023,3,Flood,CA,Del Norte County,"SEVERE WINTER STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",3592,"155,973",155.973,55.77454545454545,57.85454545454545,2.0799999999999983
4/10/2023,2023,4,Flood,ND,Mercer County,FLOODING,4717,"68,994",68.994,37.78909090909091,38.44363636363636,0.654545454545449
6/8/2023,2023,6,Flood,CO,Elbert County,"SEVERE STORMS, FLOODING, AND TORNADOES",4731,"103,730",103.73,42.48363636363637,44.301818181818184,1.818181818181813
1/8/2023,2023,1,Flood,CA,Los Angeles County,"SEVERE WINTER STORMS, FLOODING, AND MUDSLIDES",3591,"155,973",155.973,55.77454545454545,57.85454545454545,2.0799999999999983
3/9/2023,2023,3,Flood,CA,Los Angeles County,"SEVERE WINTER STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",3592,"155,973",155.973,55.77454545454545,57.85454545454545,2.0799999999999983
4/10/2023,2023,4,Flood,ND,Walsh County,FLOODING,4717,"68,994",68.994,37.78909090909091,38.44363636363636,0.654545454545449
6/1/2023,2023,6,Flood,MT,Carbon County,FLOODING,4745,"145,556",145.556,39.494545454545445,40.31636363636364,0.8218181818181947
1/8/2023,2023,1,Flood,CA,Lake County,"SEVERE WINTER STORMS, FLOODING, AND MUDSLIDES",3591,"155,973",155.973,55.77454545454545,57.85454545454545,2.0799999999999983
3/9/2023,2023,3,Flood,CA,Lake County,"SEVERE WINTER STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",3592,"155,973",155.973,55.77454545454545,57.85454545454545,2.0799999999999983
2/15/2023,2023,2,Flood,KY,Caldwell County,"SEVERE STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES",4711,"39,732",39.732,52.57454545454546,55.369090909090914,2.7945454545454567
6/8/2023,2023,6,Flood,CO,Baca County,"SEVERE STORMS, FLOODING, AND TORNADOES",4731,"103,730",103.73,42.48363636363637,44.301818181818184,1.818181818181813
1/8/2023,2023,1,Flood,CA,Sonoma County,"SEVERE WINTER STORMS, FLOODING, AND MUDSLIDES",3591,"155,973",155.973,55.77454545454545,57.85454545454545,2.0799999999999983
3/9/2023,2023,3,Flood,CA,Sonoma County,"SEVERE WINTER STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",3592,"155,973",155.973,55.77454545454545,57.85454545454545,2.0799999999999983
4/10/2023,2023,4,Flood,MT,Roosevelt County,FLOODING,4726,"145,556",145.556,39.494545454545445,40.31636363636364,0.8218181818181947
