,date,year,month,category,state,county,title,fema_number,area
0,1/31/11,2011,1,Snowstorm,WI,Washington County,SEVERE WINTER STORM AND SNOWSTORM,1966,"54,314"
11,12/26/10,2010,12,Snowstorm,NJ,Atlantic County,SEVERE WINTER STORM AND SNOWSTORM,1954,"7,419"
26,1/11/11,2011,1,Snowstorm,MA,Berkshire County,SEVERE WINTER STORM AND SNOWSTORM,1959,"7,838"
33,1/11/11,2011,1,Snowstorm,CT,Mashantucket Pequot Indian Reservation,SNOWSTORM,1958,"4,845"
41,1/31/11,2011,1,Snowstorm,IL,Adams County,SEVERE WINTER STORM AND SNOWSTORM,1960,"55,593"
106,12/6/03,2003,12,Snowstorm,MA,Barnstable County,SNOW,3191,"7,838"
118,1/23/04,2004,1,Snowstorm,ND,Fort Berthold Indian Reservation,SNOW,3196,"68,994"
128,12/6/03,2003,12,Snowstorm,ME,Androscoggin County,SNOW,3190,"30,865"
139,1/28/04,2004,1,Snowstorm,NY,Cayuga County,SNOW,3195,
143,12/6/03,2003,12,Snowstorm,NH,Belknap County,SNOW,3193,"8,969"
151,12/14/03,2003,12,Snowstorm,ME,Aroostook County,SNOW,3194,"30,865"
158,12/5/03,2003,12,Snowstorm,CT,Fairfield County,SNOW,3192,"4,845"
165,2/5/08,2008,2,Snowstorm,IL,Boone County,RECORD SNOW AND NEAR RECORD SNOW,3283,"55,593"
173,11/5/08,2008,11,Snowstorm,SD,Cheyenne River Indian Reservation,SEVERE WINTER STORM AND RECORD AND NEAR RECORD SNOW,1811,"75,898"
190,3/7/08,2008,3,Snowstorm,OH,Ashtabula County,RECORD SNOW AND NEAR RECORD SNOW,3286,"40,953"
210,2/5/08,2008,2,Snowstorm,WI,Dane County,RECORD SNOW AND NEAR RECORD SNOW,3285,"54,314"
221,5/1/08,2008,5,Snowstorm,SD,Bennett County,SEVERE WINTER STORM AND RECORD AND NEAR RECORD SNOW,1759,"75,898"
227,1/22/16,2016,1,Snowstorm,MD,Allegany County,SEVERE WINTER STORM AND SNOWSTORM,4261,"9,775"
246,1/22/16,2016,1,Snowstorm,DE,Sussex County,SEVERE WINTER STORM AND SNOWSTORM,4265,"1,955"
247,1/22/16,2016,1,Snowstorm,PA,Adams County,SEVERE WINTER STORM AND SNOWSTORM,4267,"44,820"
270,1/22/16,2016,1,Snowstorm,DC,District of Columbia County-equivalent,SNOWSTORM,4260,
271,1/22/16,2016,1,Snowstorm,VA,Albemarle County,SEVERE WINTER STORM AND SNOWSTORM,4262,"39,598"
301,10/12/06,2006,10,Snowstorm,NY,Erie County,LAKE EFFECT SNOWSTORM,3268,
305,2/11/06,2006,2,Snowstorm,CT,Fairfield County,SNOW,3266,"4,845"
310,11/30/06,2006,11,Snowstorm,IL,Adams County,SNOW,3269,"55,593"
336,12/25/05,2005,12,Snowstorm,ME,Aroostook County,SNOW,3265,"30,865"
337,1/28/22,2022,1,Snowstorm,MA,Mashpee Wampanoag Tribe,SEVERE WINTER STORM AND SNOWSTORM,4651,"7,838"
342,3/17/22,2022,3,Snowstorm,KS,Barton County,SEVERE WINTER STORMS AND STRAIGHT-LINE WINDS,4654,"81,823"
362,1/28/22,2022,1,Snowstorm,RI,Narragansett Indian Reservation,SEVERE WINTER STORM AND SNOWSTORM,4653,"1,034"
368,3/13/18,2018,3,Snowstorm,MA,Essex County,SEVERE WINTER STORM AND SNOWSTORM,4379,"7,838"
373,4/13/18,2018,4,Snowstorm,NE,Antelope County,SEVERE WINTER STORM AND STRAIGHT-LINE WINDS,4375,"76,878"
404,3/13/18,2018,3,Snowstorm,NH,Carroll County,SEVERE WINTER STORM AND SNOWSTORM,4371,"8,969"
407,2/20/13,2013,2,Snowstorm,KS,Barber County,SNOWSTORM,4112,"81,823"
430,3/11/05,2005,3,Snowstorm,NH,Carroll County,RECORD SNOW,3211,"8,969"
435,12/21/04,2004,12,Snowstorm,KY,Marshall County,SEVERE WINTER STORM AND RECORD SNOW,1578,"39,732"
465,1/6/05,2005,1,Snowstorm,NV,Churchill County,SNOW,3204,"109,806"
481,12/29/04,2004,12,Snowstorm,NV,Churchill County,RECORD AND/OR NEAR RECORD SNOW,3202,"109,806"
496,12/22/04,2004,12,Snowstorm,OH,Butler County,SNOW,3198,"40,953"
522,12/21/04,2004,12,Snowstorm,IN,Bartholomew County,SNOW,3197,"35,870"
