state,fema_number,thousand_square_miles,intensity,first,last,change
RI,3,1.034,2.9013539651837523,46.26909090909091,50.16363636363637,3.894545454545458
CT,6,4.845,1.238390092879257,45.65272727272727,49.14181818181818,3.489090909090912
DE,2,1.955,1.0230179028132993,51.58181818181818,55.45818181818182,3.8763636363636422
VT,9,9.249,0.9730781706130391,38.94,42.1490909090909,3.2090909090909037
NJ,6,7.419,0.8087343307723414,48.99636363636364,52.91818181818182,3.921818181818182
NH,7,8.969,0.780466049726837,39.97090909090909,43.3,3.329090909090908
WA,46,66.582,0.6908774143161817,44.38909090909091,45.943636363636365,1.5545454545454547
MA,5,7.838,0.6379178361826997,44.49090909090909,48.29454545454545,3.8036363636363575
LA,23,43.566,0.5279346279208557,64.23818181818181,66.66545454545455,2.4272727272727366
CA,78,155.973,0.5000865534419419,55.77454545454545,57.85454545454545,2.0799999999999983
FL,25,53.997,0.46298868455654946,68.63636363636364,71.9509090909091,3.3145454545454527
TN,18,41.22,0.4366812227074236,54.92,57.6,2.6799999999999997
OR,37,96.003,0.38540462277220505,44.93272727272728,46.51090909090909,1.578181818181811
MS,18,46.914,0.3836807775930426,61.17454545454545,63.839999999999996,2.665454545454544
OK,23,68.679,0.3348913059304882,57.44181818181818,58.863636363636374,1.421818181818196
MD,3,9.775,0.3069053708439898,51.12181818181818,54.761818181818185,3.6400000000000077
KY,12,39.732,0.30202355783751134,52.57454545454546,55.369090909090914,2.7945454545454567
SC,9,30.111,0.29889409186011756,59.82727272727273,62.75090909090909,2.923636363636362
AL,15,50.75,0.2955665024630542,60.57636363636364,63.30727272727273,2.730909090909094
WV,6,24.087,0.24909702329057168,48.65454545454545,51.78545454545455,3.1309090909090997
NC,12,48.718,0.24631553019417873,55.874545454545455,58.95818181818182,3.0836363636363657
NY,11,47.224,0.2329324072505506,42.02545454545455,44.98727272727273,2.961818181818181
ME,7,30.865,0.22679410335331282,37.914545454545454,40.99636363636364,3.0818181818181856
AZ,24,113.642,0.21118952499956004,57.29272727272728,59.45454545454545,2.1618181818181768
AR,10,52.075,0.19203072491598655,58.06727272727274,59.8,1.73272727272726
SD,14,75.898,0.18445808848718018,42.345454545454544,43.309090909090905,0.9636363636363612
VA,7,39.598,0.1767766048790343,52.06363636363636,55.31272727272729,3.249090909090924
UT,13,82.168,0.15821244280011681,45.36545454545454,47.07636363636363,1.710909090909091
IA,8,55.875,0.14317673378076062,44.74545454545455,46.510909090909095,1.7654545454545456
NV,14,109.806,0.12749758665282407,47.449090909090906,49.09818181818182,1.6490909090909156
MT,18,145.556,0.1236637445381846,39.494545454545445,40.31636363636364,0.8218181818181947
GA,7,57.919,0.12085844023550131,60.94,63.93272727272726,2.992727272727265
NE,9,76.878,0.11706860220088972,45.90181818181818,47.55090909090909,1.6490909090909085
ND,8,68.994,0.11595211177783575,37.78909090909091,38.44363636363636,0.654545454545449
CO,12,103.73,0.11568495131591632,42.48363636363637,44.301818181818184,1.818181818181813
KS,9,81.823,0.1099935226036689,51.81454545454545,53.261818181818185,1.4472727272727326
NM,13,121.365,0.10711490133069666,50.74545454545454,53.29272727272727,2.547272727272727
MO,7,68.898,0.10159946587709368,51.95636363636364,53.84363636363637,1.8872727272727303
TX,25,261.914,0.09545117863115374,62.785454545454535,65.07818181818182,2.2927272727272836
IL,5,55.593,0.08993938085730217,48.99818181818183,51.11272727272728,2.11454545454545
MN,7,79.617,0.08792092141125639,37.972727272727276,39.40727272727273,1.4345454545454572
WI,4,54.314,0.07364583716905401,40.06545454545455,42.041818181818186,1.9763636363636365
OH,3,40.953,0.07325470661490001,47.60545454545454,50.77636363636363,3.1709090909090847
ID,6,82.751,0.07250667665647545,40.36363636363636,41.85636363636364,1.4927272727272793
IN,2,35.87,0.055756899916364656,48.56181818181818,51.14181818181818,2.5799999999999983
WY,5,97.105,0.05149065444621801,38.75636363636363,39.84,1.0836363636363728
PA,2,44.82,0.04462293618920125,45.32181818181819,48.660000000000004,3.338181818181816
MI,2,56.539,0.035373812766409024,41.401818181818186,43.89272727272727,2.490909090909085
AK,12,570.641,0.021028983196090013,22.956363636363637,26.25090909090909,3.294545454545453
